,1,1384,,Server ,CPU-Server ,HP,HP Proliant Ml110 Gen10,PE 47487,SGH249TK62,,,On Site,,,,,,16GB,,,,,,,,,,,,,,,,,,
,1,1316,,Server ,CPU-Server ,HP,HP Proliant Ml110 Gen11,PE 49694,SGH439KNLJ,,,On Site,,,,,,16GB,,,,,,,,,,,,,,,,,,
,1,1391,,Server ,CPU-Server ,HP,HP Proliant Ml110 Gen10,PE 47447,SGH249TK71,,,On Site,,,,,,16GB,,,,,,,,,,,,,,,,,,
,1,1396,,Server ,CPU-Server ,HP,HP Proliant ML110 Gen9,PE 41463,SGH809WBWE,,,On Site,,,,,,16GB,,,,,,,,,,,,,,,,,,
,1,1397,,Server ,CPU-Server ,VM,IBM X3200,PE 3883,99A5550,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1337,,CPU,CPU-PC,HP,DX2810,PE 32497,SGH9130LKY,39972,,On Site,1337w0015_01.lto.it,10.13.37.70,00-23-7D-2B-17-B6,,Cashier,2GB,150.00 GB,97.0GB,1,Windows XP,DL DEMERIT,0,,0,1,0,0,,,,,,,
,1,1337,,Monitor,Monitor-LCD,HP,Others,PE 27664,CNK8400K5M,,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1337,,Other Peripherals,Keyboard,HP,Others,CI 13548,BC3880FVBWL3E1,,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1337,,CPU,CPU-PC,HP,DX2810,PE 32511,SGH9130LRR,39972,,On Site,1800_ws104.lto.it,10.13.37.9,00-23-7D-2B-72-D2,,Chief,2GB,150.00 GB,96.0GB,1,Windows XP,DL DEMERIT,0,,0,1,,,,,,,,,
,1,1337,,Monitor,Monitor-LCD,DELL,Others,Unreadable,CSIPE-00001019,,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1337,,Other Peripherals,Keyboard,HP,Others,CI 26266,BC3880FVBWPFFD,,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1337,,Other Peripherals,Mouse,HP,Others,CI 16162,265986-003,,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1337,,UPS,UPS-PC,Eaton,Others,PE 39443,PA63H32VF4,11/23/2017,,On Site,,,,,,,,,,Windows 11 64Bit,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2810,PE 26168,SGH847012P,06/08/2009,,On Site,1378w0005_1,10.13.78.73,00-22-64-b7-72-54,,MV Evaluator,3.25 GB,150.00 GB,84.22 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,N/A,PE 42688,1CR8371D5Y,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Mouse,HP,N/A,CI 46335,N/A,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC, Powerware, PW9110,PE  21765,B21238,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2810,PE 348866,SGH029T1ZF,06/08/2009,,On Site,1378w0022_6,10.13.78.153,6C-62-6D-OE-EE-31,,MV Evaluator,3.25 GB,150.00 GB,103.4 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,V194,PE 40094,3CQ7392L4V,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,Pro Display P200,PE 37928,CNK5030HNL,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,Monitor,Monitor-LCD,NOC,N/A,PE 934,9417aja008414,,,On Site,,,,,Approving Officer,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech,KRS85,CI 19090,CI28031, ,,On Site, ,,,,MV Evaluator, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech,N/A,CI 21154,BC3880FVBXKNOR,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC,HP,KU1469,PE 24127,N/A,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2810,PE 30366,SGH847008H,06/08/2009,,On Site,1378w0014_1,10.13.78.200,00-23-7D-16-5F-13,,MV Evaluator,2 GB,150.00 GB,103.32 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,DELL,7BI3CCU,PE 4110,CN-0WR979,,,On Site,,,,,Approving,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech,N/A,CI 21154,BC3880FVBXKNOR,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,HP,KU1469,CI 24127,N/A,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech,KRS83,CI 28782,N/A, ,,On Site, ,,,,MV Evaluator, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse,Genius,,Unreadable,XP18S8305840,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC,A4tech,,Unreadable,XP1858305840,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2810,PE 31940,SGH8470133,,,On Site,1378w0007_1,00-22-64-B7-75-71,00-22-64-B7-73-A4,,Ronaldo G. Ramirez,150.00 GB,101.4 GB,1,1,Windows XP,OR/CR,1,1,1,0,0,Ver 4.0,eScan,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,19'5,PE 51275,3CQ4460DJQ,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,Other Peripherals,Keyboard,HP,KU1469,CI 27137,N/A, ,,On Site, ,,,,Acting Cashier, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse,HP,N/A,CI 31920,N/A,,,On Site,,,,,Acting Cashier,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2710,PE 26764,SGH8470D96,,,On Site,1378w0009_1,10.13.78.118,00-23-7D-16-7C-FC,,Approving,3.00 GB,150.00 GB,97.2 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,HP,HP V194,PE 46108,3CQ036098Q, ,,On Site, ,,,,Acting Cashier, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Keyboard,HP,KU-0316,CI 1807,BAUJQ0HVBYZ95X, ,,On Site, ,,,,MV Evaluator, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech, ,CI 21916,Unreadable,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC, , ,,Unreadable,,,On Site,,,,,MV Evaluator,,,,,,,,,,,,,,,,,,,
,1,1378,,CPU,CPU-PC,HP,DX2710,PE 26882,SGH8470DCN,39792,,On Site,1378w0038_3,10.13.78.154,00-23-7d-16-60-06,,MV Evaluator,3.00 GB,150.00 GB,7.74 GB,1,Windows XP,OR/CR,0,,,1,0,0,Ver 4.0,,,,,,
,1,1378,,Monitor,Monitor-LCD,`,L1910,PE 31826,CNK8400K7S, ,,On Site, ,,,,MV Evaluator, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Keyboard,A4tech, ,Unreadable,Unreadable, ,,On Site, ,,,,Approving Officer, , , , , , , ,, , , , , ,,,,,,
,1,1378,,Other Peripherals,Mouse,A4tech, ,Unreadable,Unreadable,,,On Site,,,,,Approving Officer,,,,,,,,,,,,,,,,,,,
,1,1378,,UPS,UPS-PC, , ,Unreadable,Unreadable,,,On Site,,,,,Approving Officer,,,,,,,,,,,,,,,,,,,
